# Time-correlated data for fix JJ
# Timestep Number-of-time-windows
# Index TimeDelta Ncount c_flux_thermal[1]*c_flux_thermal[1] c_flux_thermal[2]*c_flux_thermal[2] c_flux_thermal[3]*c_flux_thermal[3]
0 200
56 550 0 0.0 0.0 0.0
57 560 0 0.0 0.0 0.0
58 570 0 0.0 0.0 0.0
59 580 0 0.0 0.0 0.0
60 590 0 0.0 0.0 0.0
61 600 0 0.0 0.0 0.0
62 610 0 0.0 0.0 0.0
63 620 0 0.0 0.0 0.0
64 630 0 0.0 0.0 0.0
65 640 0 0.0 0.0 0.0
66 650 0 0.0 0.0 0.0
67 660 0 0.0 0.0 0.0
68 670 0 0.0 0.0 0.0
69 680 0 0.0 0.0 0.0
70 690 0 0.0 0.0 0.0
71 700 0 0.0 0.0 0.0
72 710 0 0.0 0.0 0.0
73 720 0 0.0 0.0 0.0
74 730 0 0.0 0.0 0.0
75 740 0 0.0 0.0 0.0
76 750 0 0.0 0.0 0.0
77 760 0 0.0 0.0 0.0
78 770 0 0.0 0.0 0.0
79 780 0 0.0 0.0 0.0
80 790 0 0.0 0.0 0.0
81 800 0 0.0 0.0 0.0
82 810 0 0.0 0.0 0.0
83 820 0 0.0 0.0 0.0
84 830 0 0.0 0.0 0.0
85 840 0 0.0 0.0 0.0
86 850 0 0.0 0.0 0.0
87 860 0 0.0 0.0 0.0
88 870 0 0.0 0.0 0.0
89 880 0 0.0 0.0 0.0
90 890 0 0.0 0.0 0.0
91 900 0 0.0 0.0 0.0
92 910 0 0.0 0.0 0.0
93 920 0 0.0 0.0 0.0
94 930 0 0.0 0.0 0.0
95 940 0 0.0 0.0 0.0
96 950 0 0.0 0.0 0.0
97 960 0 0.0 0.0 0.0
98 970 0 0.0 0.0 0.0
99 980 0 0.0 0.0 0.0
100 990 0 0.0 0.0 0.0
101 1000 0 0.0 0.0 0.0
102 1010 0 0.0 0.0 0.0
103 1020 0 0.0 0.0 0.0
104 1030 0 0.0 0.0 0.0
105 1040 0 0.0 0.0 0.0
106 1050 0 0.0 0.0 0.0
107 1060 0 0.0 0.0 0.0
108 1070 0 0.0 0.0 0.0
109 1080 0 0.0 0.0 0.0
110 1090 0 0.0 0.0 0.0
111 1100 0 0.0 0.0 0.0
112 1110 0 0.0 0.0 0.0
113 1120 0 0.0 0.0 0.0
114 1130 0 0.0 0.0 0.0
115 1140 0 0.0 0.0 0.0
116 1150 0 0.0 0.0 0.0
117 1160 0 0.0 0.0 0.0
118 1170 0 0.0 0.0 0.0
119 1180 0 0.0 0.0 0.0
120 1190 0 0.0 0.0 0.0
121 1200 0 0.0 0.0 0.0
122 1210 0 0.0 0.0 0.0
123 1220 0 0.0 0.0 0.0
124 1230 0 0.0 0.0 0.0
125 1240 0 0.0 0.0 0.0
126 1250 0 0.0 0.0 0.0
127 1260 0 0.0 0.0 0.0
128 1270 0 0.0 0.0 0.0
129 1280 0 0.0 0.0 0.0
130 1290 0 0.0 0.0 0.0
131 1300 0 0.0 0.0 0.0
132 1310 0 0.0 0.0 0.0
133 1320 0 0.0 0.0 0.0
134 1330 0 0.0 0.0 0.0
135 1340 0 0.0 0.0 0.0
136 1350 0 0.0 0.0 0.0
137 1360 0 0.0 0.0 0.0
138 1370 0 0.0 0.0 0.0
139 1380 0 0.0 0.0 0.0
140 1390 0 0.0 0.0 0.0
141 1400 0 0.0 0.0 0.0
142 1410 0 0.0 0.0 0.0
143 1420 0 0.0 0.0 0.0
144 1430 0 0.0 0.0 0.0
145 1440 0 0.0 0.0 0.0
146 1450 0 0.0 0.0 0.0
147 1460 0 0.0 0.0 0.0
148 1470 0 0.0 0.0 0.0
149 1480 0 0.0 0.0 0.0
150 1490 0 0.0 0.0 0.0
151 1500 0 0.0 0.0 0.0
152 1510 0 0.0 0.0 0.0
153 1520 0 0.0 0.0 0.0
154 1530 0 0.0 0.0 0.0
155 1540 0 0.0 0.0 0.0
156 1550 0 0.0 0.0 0.0
157 1560 0 0.0 0.0 0.0
158 1570 0 0.0 0.0 0.0
159 1580 0 0.0 0.0 0.0
160 1590 0 0.0 0.0 0.0
161 1600 0 0.0 0.0 0.0
162 1610 0 0.0 0.0 0.0
163 1620 0 0.0 0.0 0.0
164 1630 0 0.0 0.0 0.0
165 1640 0 0.0 0.0 0.0
166 1650 0 0.0 0.0 0.0
167 1660 0 0.0 0.0 0.0
168 1670 0 0.0 0.0 0.0
169 1680 0 0.0 0.0 0.0
170 1690 0 0.0 0.0 0.0
171 1700 0 0.0 0.0 0.0
172 1710 0 0.0 0.0 0.0
173 1720 0 0.0 0.0 0.0
174 1730 0 0.0 0.0 0.0
175 1740 0 0.0 0.0 0.0
176 1750 0 0.0 0.0 0.0
177 1760 0 0.0 0.0 0.0
178 1770 0 0.0 0.0 0.0
179 1780 0 0.0 0.0 0.0
180 1790 0 0.0 0.0 0.0
181 1800 0 0.0 0.0 0.0
182 1810 0 0.0 0.0 0.0
183 1820 0 0.0 0.0 0.0
184 1830 0 0.0 0.0 0.0
185 1840 0 0.0 0.0 0.0
186 1850 0 0.0 0.0 0.0
187 1860 0 0.0 0.0 0.0
188 1870 0 0.0 0.0 0.0
189 1880 0 0.0 0.0 0.0
190 1890 0 0.0 0.0 0.0
191 1900 0 0.0 0.0 0.0
192 1910 0 0.0 0.0 0.0
193 1920 0 0.0 0.0 0.0
194 1930 0 0.0 0.0 0.0
195 1940 0 0.0 0.0 0.0
196 1950 0 0.0 0.0 0.0
197 1960 0 0.0 0.0 0.0
198 1970 0 0.0 0.0 0.0
199 1980 0 0.0 0.0 0.0
200 1990 0 0.0 0.0 0.0
2000 200
1 0 201 0.0135787 0.00580931 0.0044192
2 10 200 0.0134473 0.00570154 0.00435097
3 20 199 0.013007 0.00535039 0.00414534
4 30 198 0.0123353 0.00482782 0.00384929
5 40 197 0.0115215 0.0042217 0.00351492
6 50 196 0.0106348 0.00360882 0.00317729
7 60 195 0.00971294 0.00304316 0.00284855
8 70 194 0.00877132 0.00255788 0.00252651
9 80 193 0.0078196 0.00217216 0.00220665
10 90 192 0.00687303 0.00189534 0.00188976
11 100 191 0.00595455 0.00172701 0.00158378
12 110 190 0.00508928 0.00165645 0.00130173
13 120 189 0.00429647 0.00166438 0.00105689
14 130 188 0.00358276 0.00172781 0.000857917
15 140 187 0.00294007 0.00182602 0.000706815
16 150 186 0.00234991 0.00194412 0.000599736
17 160 185 0.00179428 0.0020724 0.000528672
18 170 184 0.00126646 0.0022025 0.000483199
19 180 183 0.000772706 0.00232397 0.000453274
20 190 182 0.000325892 0.00242339 0.000431859
21 200 181 -6.22312e-05 0.00248631 0.000415648
22 210 180 -0.000385768 0.00250052 0.000403424
23 220 179 -0.000645981 0.00245824 0.000393044
24 230 178 -0.000848977 0.00235598 0.000379243
25 240 177 -0.00100031 0.00219413 0.000354248
26 250 176 -0.00110297 0.00197796 0.000312492
27 260 175 -0.00116 0.00171904 0.000254605
28 270 174 -0.00117567 0.00143504 0.00018507
29 280 173 -0.0011543 0.00114669 0.000106202
30 290 172 -0.00109902 0.000872887 1.49102e-05
31 300 171 -0.00101236 0.000627132 -9.44007e-05
32 310 170 -0.000898674 0.000416803 -0.00022401
33 320 169 -0.000764774 0.000244454 -0.000369109
34 330 168 -0.000618398 0.000108932 -0.00051889
35 340 167 -0.000466883 5.38407e-06 -0.000660628
36 350 166 -0.00031635 -7.41738e-05 -0.000784259
37 360 165 -0.000172544 -0.000138292 -0.000886223
38 370 164 -4.41353e-05 -0.000192298 -0.000970176
39 380 163 5.63116e-05 -0.000236443 -0.00104346
40 390 162 0.000116794 -0.000267608 -0.00111157
41 400 161 0.000128417 -0.000281873 -0.00117447
42 410 160 8.56599e-05 -0.000275462 -0.001227
43 420 159 -1.33213e-05 -0.00024418 -0.00126152
44 430 158 -0.000168821 -0.000183629 -0.00127147
45 440 157 -0.000382374 -9.11937e-05 -0.00125531
46 450 156 -0.000653187 3.11622e-05 -0.00121914
47 460 155 -0.000971054 0.000175581 -0.00117654
48 470 154 -0.00131449 0.000329352 -0.00114556
49 480 153 -0.0016551 0.000476938 -0.00114079
50 490 152 -0.00196362 0.00060139 -0.00116361
51 500 151 -0.00221462 0.000685919 -0.00119859
52 510 150 -0.00239126 0.000716854 -0.00121992
53 520 149 -0.00248853 0.000687095 -0.00120382
54 530 148 -0.00250879 0.000597994 -0.00113921
55 540 147 -0.00245252 0.000458864 -0.00102935
56 550 146 -0.00231547 0.000285098 -0.000884356
57 560 145 -0.00209303 9.62743e-05 -0.000713229
58 570 144 -0.0017868 -8.63668e-05 -0.00052148
59 580 143 -0.00141141 -0.000244434 -0.00031215
60 590 142 -0.000994525 -0.000366868 -8.66701e-05
61 600 141 -0.000567782 -0.000449184 0.000155416
62 610 140 -0.000154496 -0.00048673 0.000414686
63 620 139 0.000235102 -0.000468459 0.000688609
64 630 138 0.000597423 -0.000377187 0.000970421
65 640 137 0.000929366 -0.000196799 0.00125414
66 650 136 0.00123028 7.82485e-05 0.0015394
67 660 135 0.00150431 0.000436842 0.00182864
68 670 134 0.00175737 0.000851367 0.00212018
69 680 133 0.00199034 0.00128354 0.0024044
70 690 132 0.00219811 0.00169165 0.00266499
71 700 131 0.00237645 0.00203584 0.00288414
72 710 130 0.00252702 0.00228255 0.00304664
73 720 129 0.00265772 0.00240939 0.00314274
74 730 128 0.00277719 0.00240949 0.00317302
75 740 127 0.00288536 0.00229362 0.00314967
76 750 126 0.00296738 0.00208872 0.00308881
77 760 125 0.00299696 0.00183307 0.00299878
78 770 124 0.00294761 0.00156912 0.0028767
79 780 123 0.00280693 0.00133579 0.00271471
80 790 122 0.002584 0.00116261 0.00250731
81 800 121 0.0023047 0.00106767 0.0022553
82 810 120 0.0019989 0.0010593 0.00196981
83 820 119 0.00168716 0.00113877 0.00167281
84 830 118 0.00137319 0.00130139 0.00139116
85 840 117 0.00104228 0.00153579 0.00114734
86 850 116 0.000668158 0.00182366 0.000953365
87 860 115 0.000231118 0.00214087 0.000810645
88 870 114 -0.00026589 0.00245934 0.000715602
89 880 113 -0.000797927 0.00275 0.000665948
90 890 112 -0.00132926 0.00298661 0.000662914
91 900 111 -0.00182678 0.00314953 0.000707274
92 910 110 -0.00227094 0.00322931 0.000793999
93 920 109 -0.00265898 0.00322918 0.000910751
94 930 108 -0.00299829 0.00316448 0.00104184
95 940 107 -0.0032938 0.0030584 0.0011724
96 950 106 -0.00354096 0.00293566 0.00128865
97 960 105 -0.00373402 0.00281726 0.00137681
98 970 104 -0.00387689 0.00271751 0.00142483
99 980 103 -0.00398094 0.00264307 0.00142458
100 990 102 -0.00405781 0.00259384 0.00137278
101 1000 101 -0.00411898 0.00256414 0.00127039
102 1010 100 -0.00417382 0.00254315 0.00111998
103 1020 99 -0.00422386 0.00251577 0.000926213
104 1030 98 -0.0042586 0.00246443 0.000700061
105 1040 97 -0.00425589 0.00237108 0.000457237
106 1050 96 -0.00418594 0.00222101 0.00021185
107 1060 95 -0.00402028 0.00201022 -2.80165e-05
108 1070 94 -0.0037459 0.00175203 -0.00026169
109 1080 93 -0.00336606 0.00147532 -0.00049274
110 1090 92 -0.00288351 0.00121285 -0.000723679
111 1100 91 -0.00229016 0.000985837 -0.000953899
112 1110 90 -0.00157523 0.0007948 -0.00117933
113 1120 89 -0.000738014 0.000623384 -0.00139072
114 1130 88 0.000204161 0.000452313 -0.00157361
115 1140 87 0.00121288 0.000273471 -0.0017136
116 1150 86 0.00223222 9.47144e-05 -0.00180293
117 1160 85 0.00319959 -6.52005e-05 -0.00184438
118 1170 84 0.00406091 -0.000185371 -0.00185059
119 1180 83 0.00478263 -0.000251199 -0.00183888
120 1190 82 0.00535259 -0.000260101 -0.00182196
121 1200 81 0.00577633 -0.000221935 -0.00179931
122 1210 80 0.00607266 -0.000154317 -0.0017556
123 1220 79 0.00626405 -7.6825e-05 -0.00166989
124 1230 78 0.00637055 -8.10922e-06 -0.00152935
125 1240 77 0.00641527 3.3352e-05 -0.0013378
126 1250 76 0.00643305 2.8079e-05 -0.00111629
127 1260 75 0.00647182 -4.24142e-05 -0.000897548
128 1270 74 0.0065809 -0.000189201 -0.000711898
129 1280 73 0.00678967 -0.000408885 -0.000573287
130 1290 72 0.00709171 -0.000682071 -0.000478234
131 1300 71 0.00744942 -0.000979354 -0.00041572
132 1310 70 0.00781776 -0.00126958 -0.000373101
133 1320 69 0.00816847 -0.00152518 -0.000334866
134 1330 68 0.0084999 -0.00172431 -0.000283567
135 1340 67 0.00882832 -0.0018526 -0.000208409
136 1350 66 0.00916694 -0.00190461 -0.000110182
137 1360 65 0.00950715 -0.00188405 2.77215e-06
138 1370 64 0.00982487 -0.00180129 0.000120387
139 1380 63 0.0101005 -0.00167242 0.000234385
140 1390 62 0.0103287 -0.0015211 0.000338427
141 1400 61 0.0105168 -0.0013762 0.000428979
142 1410 60 0.010679 -0.00126245 0.00050947
143 1420 59 0.0108374 -0.00118934 0.000589213
144 1430 58 0.011019 -0.00114809 0.000675502
145 1440 57 0.0112322 -0.00111971 0.000771727
146 1450 56 0.0114565 -0.00108783 0.00087998
147 1460 55 0.0116579 -0.00104813 0.00100188
148 1470 54 0.01181 -0.00100856 0.00113182
149 1480 53 0.0119057 -0.000979512 0.00124876
150 1490 52 0.0119528 -0.000962389 0.00131846
151 1500 51 0.0119697 -0.000946595 0.00131421
152 1510 50 0.011977 -0.000916506 0.00123927
153 1520 49 0.0119852 -0.000860973 0.00112515
154 1530 48 0.0119909 -0.000777778 0.00100948
155 1540 47 0.0119807 -0.000671407 0.000912911
156 1550 46 0.0119328 -0.000548358 0.000829483
157 1560 45 0.0118189 -0.000414957 0.000737357
158 1570 44 0.0116145 -0.000278034 0.000621715
159 1580 43 0.0113069 -0.00014525 0.000488742
160 1590 42 0.0108901 -2.46677e-05 0.000361831
161 1600 41 0.0103524 7.56795e-05 0.000269957
162 1610 40 0.00967629 0.000148045 0.000233843
163 1620 39 0.00884968 0.000185513 0.000259234
164 1630 38 0.00787174 0.000181686 0.000343429
165 1640 37 0.00675635 0.000130035 0.000483259
166 1650 36 0.00553473 2.33358e-05 0.000672053
167 1660 35 0.00424448 -0.00014245 0.000893314
168 1670 34 0.00291684 -0.000356698 0.00112273
169 1680 33 0.00158673 -0.0005789 0.00133856
170 1690 32 0.000292505 -0.000738047 0.00152762
171 1700 31 -0.000939592 -0.000758047 0.00168312
172 1710 30 -0.00209329 -0.000596377 0.00180066
173 1720 29 -0.00314217 -0.000270895 0.00187074
174 1730 28 -0.004037 0.000145211 0.00187366
175 1740 27 -0.00471446 0.000556443 0.00178627
176 1750 26 -0.0051296 0.000881914 0.00159529
177 1760 25 -0.00529304 0.0010746 0.00130525
178 1770 24 -0.00527799 0.00111882 0.000931404
179 1780 23 -0.0051821 0.00101952 0.000487884
180 1790 22 -0.00507067 0.000794336 -1.36548e-05
181 1800 21 -0.00495356 0.000473513 -0.000549075
182 1810 20 -0.00481837 0.000106931 -0.00107175
183 1820 19 -0.00467787 -0.000234653 -0.00152325
184 1830 18 -0.00459121 -0.00047595 -0.00185396
185 1840 17 -0.00466273 -0.000566471 -0.00204453
186 1850 16 -0.00500213 -0.000508303 -0.00211619
187 1860 15 -0.00565283 -0.000361115 -0.00212249
188 1870 14 -0.00653565 -0.00020907 -0.0021213
189 1880 13 -0.00746715 -0.00010975 -0.00213884
190 1890 12 -0.00825179 -6.62504e-05 -0.00215752
191 1900 11 -0.00876321 -4.21155e-05 -0.00212654
192 1910 10 -0.00896863 1.20669e-06 -0.00198368
193 1920 9 -0.00892486 7.15029e-05 -0.0016769
194 1930 8 -0.00876457 0.000136802 -0.00119048
195 1940 7 -0.00865456 0.000149336 -0.000550987
196 1950 6 -0.0087113 9.00957e-05 0.000184436
197 1960 5 -0.00891207 -8.03379e-06 0.000937568
198 1970 4 -0.00906696 -8.04019e-05 0.00160538
199 1980 3 -0.00888968 -7.57631e-05 0.00208213
200 1990 2 -0.00816879 1.14335e-05 0.00232806
4000 200
1 0 401 0.00957893 0.00739907 0.00786931
2 10 400 0.00946057 0.00726889 0.0077388
3 20 399 0.00911583 0.00692813 0.00736139
4 30 398 0.00861804 0.00644603 0.00680269
5 40 397 0.00805162 0.00590274 0.00613707
6 50 396 0.00748075 0.00536369 0.0054232
7 60 395 0.00693517 0.00486711 0.00469625
8 70 394 0.00641526 0.00442637 0.0039739
9 80 393 0.00590696 0.00404063 0.00326668
10 90 392 0.00539599 0.00370487 0.00258532
11 100 391 0.00487639 0.0034144 0.00194295
12 110 390 0.0043526 0.00316458 0.00135353
13 120 389 0.00383734 0.00295034 0.000828594
14 130 388 0.00334692 0.00276762 0.00037401
15 140 387 0.00289599 0.0026141 -1.10591e-05
16 150 386 0.00249324 0.00248767 -0.000332433
17 160 385 0.00214014 0.00238423 -0.000597521
18 170 384 0.00183213 0.00229771 -0.000812692
19 180 383 0.00156084 0.00222077 -0.00098202
20 190 382 0.00131682 0.00214539 -0.0011065
21 200 381 0.00109277 0.00206377 -0.00118452
22 210 380 0.000885389 0.00196992 -0.00121399
23 220 379 0.000695442 0.0018611 -0.00119536
24 230 378 0.00052727 0.00173756 -0.00113378
25 240 377 0.000388046 0.00160164 -0.00103894
26 250 376 0.000284432 0.00145728 -0.000921577
27 260 375 0.000218445 0.00130945 -0.00078968
28 270 374 0.000186443 0.00116405 -0.000648114
29 280 373 0.000180094 0.00102899 -0.000502383
30 290 372 0.000188059 0.00091419 -0.000362131
31 300 371 0.000198631 0.000828668 -0.000239383
32 310 370 0.000202821 0.000776038 -0.000142811
33 320 369 0.000197103 0.00075114 -7.40766e-05
34 330 368 0.000184205 0.00073996 -2.87295e-05
35 340 367 0.000171202 0.000724431 1.37447e-06
36 350 366 0.000165929 0.000690749 2.6346e-05
37 360 365 0.000173063 0.000636631 5.63997e-05
38 370 364 0.000191925 0.000572555 0.000100117
39 380 363 0.000217206 0.000516188 0.000163156
40 390 362 0.000241325 0.000483731 0.000247518
41 400 361 0.000256256 0.000483921 0.000350849
42 410 360 0.000255963 0.000517222 0.000465516
43 420 359 0.00023894 0.000577897 0.000579727
44 430 358 0.000207566 0.00065578 0.000681455
45 440 357 0.000164647 0.000737563 0.000762375
46 450 356 0.000111706 0.000808872 0.00081919
47 460 355 5.01358e-05 0.000857246 0.00085204
48 470 354 -1.64718e-05 0.000875193 0.000861934
49 480 353 -8.09681e-05 0.00086127 0.000849126
50 490 352 -0.000133759 0.000819092 0.000812999
51 500 351 -0.000165649 0.000755148 0.000753346
52 510 350 -0.000171406 0.000676884 0.0006729
53 520 349 -0.00015186 0.000592637 0.000578917
54 530 348 -0.00011078 0.000511835 0.00048154
55 540 347 -4.89063e-05 0.00044186 0.00039005
56 550 346 3.80051e-05 0.000382692 0.00030992
57 560 345 0.000155532 0.000325652 0.000242352
58 570 344 0.000304545 0.000258348 0.000184575
59 580 343 0.000476856 0.000170205 0.000129583
60 590 342 0.000656583 5.49496e-05 6.73517e-05
61 600 341 0.00082667 -8.87477e-05 -1.14103e-05
62 610 340 0.000975024 -0.000255071 -0.000112473
63 620 339 0.00109647 -0.000427666 -0.000237351
64 630 338 0.00119062 -0.000580351 -0.000382603
65 640 337 0.0012587 -0.000684688 -0.00053839
66 650 336 0.00130295 -0.000720503 -0.00068919
67 660 335 0.00132836 -0.000683878 -0.000818405
68 670 334 0.00134277 -0.000589052 -0.000912932
69 680 333 0.00135448 -0.000462703 -0.000965522
70 690 332 0.0013701 -0.000331956 -0.000976362
71 700 331 0.00139394 -0.000215444 -0.000951556
72 710 330 0.00142815 -0.000122146 -0.000898859
73 720 329 0.00147359 -5.57838e-05 -0.000824535
74 730 328 0.00153051 -1.82688e-05 -0.000732349
75 740 327 0.00159723 -8.14502e-06 -0.00062569
76 750 326 0.00166817 -1.74828e-05 -0.000511355
77 760 325 0.00173315 -3.29638e-05 -0.000399615
78 770 324 0.00178005 -4.05474e-05 -0.000298017
79 780 323 0.00180132 -3.03354e-05 -0.000205159
80 790 322 0.00179901 1.41201e-06 -0.000111492
81 800 321 0.00178392 5.32469e-05 -5.87873e-06
82 810 320 0.00176989 0.000121424 0.000119839
83 820 319 0.00176662 0.000202408 0.000269812
84 830 318 0.00177423 0.00029247 0.000444127
85 840 317 0.00178214 0.000387268 0.000638432
86 850 316 0.00177411 0.000483476 0.0008457
87 860 315 0.00173716 0.000578653 0.00106066
88 870 314 0.00166797 0.000669001 0.00128317
89 880 313 0.00157288 0.000749317 0.00151786
90 890 312 0.00146321 0.000814098 0.00177021
91 900 311 0.00134861 0.000857615 0.00204062
92 910 310 0.00123199 0.000872614 0.00232028
93 920 309 0.00111014 0.00085051 0.00259319
94 930 308 0.000978967 0.000784104 0.00284295
95 940 307 0.000839587 0.000669441 0.00305723
96 950 306 0.000700721 0.000508825 0.0032271
97 960 305 0.000573474 0.000315396 0.0033453
98 970 304 0.000462032 0.000114047 0.00340612
99 980 303 0.000359362 -6.54848e-05 0.00340499
100 990 302 0.000251209 -0.000200109 0.00333633
101 1000 301 0.000123243 -0.000282169 0.0031928
102 1010 300 -3.24061e-05 -0.000320674 0.00296794
103 1020 299 -0.000212438 -0.000336957 0.00265987
104 1030 298 -0.000400888 -0.000357405 0.00227222
105 1040 297 -0.000572435 -0.000404443 0.00181055
106 1050 296 -0.000699782 -0.000487754 0.00127866
107 1060 295 -0.000762603 -0.000601049 0.000681282
108 1070 294 -0.000754563 -0.000724296 3.0639e-05
109 1080 293 -0.000682904 -0.000829249 -0.000649009
110 1090 292 -0.000560669 -0.000889893 -0.00132586
111 1100 291 -0.000398027 -0.000894807 -0.00196986
112 1110 290 -0.000197969 -0.000851036 -0.00255624
113 1120 289 4.17548e-05 -0.000777037 -0.00306376
114 1130 288 0.000322231 -0.000692491 -0.00347317
115 1140 287 0.000637179 -0.000610711 -0.00376809
116 1150 286 0.000971442 -0.000536426 -0.00393721
117 1160 285 0.00130378 -0.000468546 -0.00397618
118 1170 284 0.00161046 -0.00040678 -0.00388944
119 1180 283 0.00186864 -0.000356372 -0.00369022
120 1190 282 0.00206115 -0.000326563 -0.00339841
121 1200 281 0.00218149 -0.000323865 -0.00303691
122 1210 280 0.00223595 -0.000345341 -0.00262654
123 1220 279 0.00224104 -0.000378191 -0.00218248
124 1230 278 0.00221808 -0.000405642 -0.00171519
125 1240 277 0.00218701 -0.000412786 -0.00123535
126 1250 276 0.00216117 -0.000390836 -0.000758898
127 1260 275 0.00214502 -0.000340318 -0.000307305
128 1270 274 0.00213497 -0.000272275 9.82503e-05
129 1280 273 0.00212133 -0.000205451 0.000442534
130 1290 272 0.00209168 -0.000160948 0.000716429
131 1300 271 0.00203759 -0.000155059 0.000915698
132 1310 270 0.00196118 -0.000193056 0.00104175
133 1320 269 0.00187684 -0.000267019 0.0011016
134 1330 268 0.00180678 -0.000359154 0.00110491
135 1340 267 0.00177126 -0.000450558 0.00106067
136 1350 266 0.00177882 -0.000530716 0.000977034
137 1360 265 0.00182275 -0.000600113 0.000863583
138 1370 264 0.00188675 -0.000666806 0.000732573
139 1380 263 0.00195495 -0.000743467 0.000597601
140 1390 262 0.00201961 -0.000846909 0.000471882
141 1400 261 0.00208469 -0.000994892 0.000367051
142 1410 260 0.00216334 -0.00119902 0.000291614
143 1420 259 0.00227257 -0.00145823 0.000249076
144 1430 258 0.00242481 -0.00175749 0.000238611
145 1440 257 0.00261807 -0.00207267 0.000257579
146 1450 256 0.00283576 -0.00237956 0.000300502
147 1460 255 0.00305653 -0.00266218 0.000356944
148 1470 254 0.00326376 -0.0029156 0.000412932
149 1480 253 0.00344885 -0.00314304 0.000456417
150 1490 252 0.00360953 -0.00335027 0.000482574
151 1500 251 0.00374758 -0.00354115 0.000496294
152 1510 250 0.00386816 -0.00371531 0.000509215
153 1520 249 0.00397891 -0.00386823 0.000530662
154 1530 248 0.00408811 -0.00399439 0.000559655
155 1540 247 0.00420203 -0.00409088 0.00058429
156 1550 246 0.00432199 -0.00415741 0.000587851
157 1560 245 0.00444321 -0.00419279 0.000557241
158 1570 244 0.00455721 -0.00419321 0.000488822
159 1580 243 0.00465554 -0.00415437 0.000388272
160 1590 242 0.00473088 -0.00407602 0.000265548
161 1600 241 0.00477558 -0.0039654 0.000131249
162 1610 240 0.00478065 -0.00383844 -3.70074e-06
163 1620 239 0.00473762 -0.00371875 -0.000129558
164 1630 238 0.00464273 -0.00363191 -0.000240077
165 1640 237 0.00450089 -0.00359474 -0.000333416
166 1650 236 0.00432451 -0.00360528 -0.000412694
167 1660 235 0.00412492 -0.00364322 -0.000485036
168 1670 234 0.0039057 -0.00367983 -0.000557247
169 1680 233 0.0036674 -0.00368654 -0.00063163
170 1690 232 0.00341412 -0.00364059 -0.00070487
171 1700 231 0.00315657 -0.00352987 -0.000770324
172 1710 230 0.00291403 -0.00335654 -0.000822744
173 1720 229 0.00271262 -0.00313639 -0.000860705
174 1730 228 0.00257804 -0.00289309 -0.000883822
175 1740 227 0.00252629 -0.00265103 -0.000891375
176 1750 226 0.00255442 -0.00243077 -0.000884465
177 1760 225 0.00263706 -0.00224587 -0.000867126
178 1770 224 0.00273436 -0.00210035 -0.000845461
179 1780 223 0.00280746 -0.00199125 -0.000825992
180 1790 222 0.00283262 -0.00191221 -0.00081343
181 1800 221 0.00280606 -0.00185569 -0.000808701
182 1810 220 0.00273863 -0.00181513 -0.000810526
183 1820 219 0.00264653 -0.00178424 -0.000819509
184 1830 218 0.00254477 -0.00175343 -0.00083701
185 1840 217 0.00244387 -0.00171376 -0.000860753
186 1850 216 0.00235118 -0.0016635 -0.000883456
